"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
8.468550100E-1;-1.165279970E-1;1.457760036E-1;1.210433960E0
8.516470890E-1;-1.272190064E-1;-1.387500018E-2;1.006121993E0
8.564393170E-1;-2.590419948E-1;9.250299633E-2;1.439174056E0
8.612313960E-1;-2.247000039E-1;1.223950014E-1;1.465813994E0
8.660236250E-1;-4.345700145E-2;-6.266900152E-2;1.279891968E0
8.708157040E-1;5.785200000E-2;-1.852499992E-1;9.652379751E-1
8.756079330E-1;1.853699982E-1;-3.004499972E-1;2.991549969E-1
8.804000120E-1;8.029100299E-2;-2.140869945E-1;7.276160121E-1
8.851922260E-1;2.400290072E-1;-2.687669992E-1;3.521600068E-1
8.899845330E-1;3.071050048E-1;-3.683269918E-1;1.590490043E-1
8.947765350E-1;3.108330071E-1;-4.384540021E-1;-3.612599894E-2
8.995686020E-1;3.728759885E-1;-4.386160076E-1;-1.734469980E-1
9.043608310E-1;3.638759851E-1;-3.930059969E-1;-5.090389848E-1
9.091531440E-1;2.439090014E-1;-3.180510104E-1;-6.144440174E-1
9.139451460E-1;1.844920069E-1;-2.352340072E-1;-8.248280287E-1
9.187372230E-1;1.377169937E-1;-1.731519997E-1;-1.252743006E0
9.235294360E-1;3.975300118E-2;-1.716399938E-2;-1.735353947E0
9.283215150E-1;-1.753669977E-1;2.027540058E-1;-1.509212017E0
9.331137440E-1;-2.299499959E-1;3.189600110E-1;-1.677924037E0
9.379058280E-1;-2.126259953E-1;4.223760068E-1;-2.023597002E0
9.426980570E-1;-2.452819943E-1;4.807350039E-1;-2.574040890E0
9.474901220E-1;-3.445189893E-1;6.490939856E-1;-2.218389988E0
9.522823510E-1;-2.441859990E-1;7.865669727E-1;-2.369643927E0
9.570744300E-1;-1.940069944E-1;8.774880171E-1;-2.664881945E0
9.618666580E-1;-2.818039954E-1;9.723209739E-1;-2.850404978E0
9.666589660E-1;-3.134050071E-1;1.097558975E0;-2.820909977E0
9.714509680E-1;-3.036499918E-1;1.203125000E0;-2.753607035E0
9.762430350E-1;-3.342959881E-1;1.315261960E0;-2.643663883E0
9.810352640E-1;-4.631229937E-1;1.461490989E0;-2.512453079E0
9.858273520E-1;-5.262680054E-1;1.520779014E0;-2.281132936E0
9.906195800E-1;-5.388680100E-1;1.619711995E0;-2.007051945E0
9.954116590E-1;-5.016019940E-1;1.633759022E0;-1.785938025E0
1.000203884E0;-5.648109913E-1;1.779489040E0;-1.698897004E0
1.004995963E0;-5.894250274E-1;1.805925012E0;-1.592810988E0
1.009788192E0;-6.139479876E-1;1.849632978E0;-1.388684988E0
1.014580256E0;-5.839819908E-1;1.857877016E0;-1.198997021E0
1.019372485E0;-5.715289712E-1;1.830615997E0;-9.638779759E-1
1.024164574E0;-4.858779907E-1;1.781821966E0;-8.436340094E-1
1.028956802E0;-3.627980053E-1;1.754179955E0;-7.160639763E-1
1.033748866E0;-2.357269973E-1;1.670920968E0;-6.649259925E-1
1.038541095E0;-9.027799964E-2;1.594280958E0;-6.303700209E-1
1.043333174E0;3.324100003E-2;1.538501978E0;-5.501220226E-1
1.048125403E0;1.493169963E-1;1.474784017E0;-4.912120104E-1
1.052917482E0;2.341540009E-1;1.453161955E0;-4.607659876E-1
1.057709710E0;3.140819967E-1;1.404271960E0;-4.827409983E-1
1.062501799E0;3.486360013E-1;1.380831003E0;-4.805400074E-1
1.067294028E0;3.952110112E-1;1.339872956E0;-5.379920006E-1
1.072086030E0;4.228860140E-1;1.276852012E0;-5.761510134E-1
1.076878105E0;4.484989941E-1;1.211058974E0;-5.759050250E-1
1.081670336E0;4.099499881E-1;1.161602020E0;-5.587930083E-1
1.086462425E0;4.360690117E-1;1.092839956E0;-5.631740093E-1
1.091254654E0;4.713990092E-1;9.882339835E-1;-5.986639857E-1
1.096046733E0;5.824450254E-1;9.004700184E-1;-7.179309726E-1
1.100838956E0;7.430620193E-1;8.033909798E-1;-8.228539824E-1
1.105631264E0;8.627910018E-1;7.377930284E-1;-9.158819914E-1
1.110423252E0;8.682600260E-1;7.037050128E-1;-9.611409903E-1
1.115215558E0;8.387219906E-1;6.654800177E-1;-9.539260268E-1
1.120007637E0;7.980859876E-1;6.876099706E-1;-9.396870136E-1
1.124799860E0;7.131909728E-1;7.604339719E-1;-9.016529918E-1
1.129591862E0;6.176699996E-1;7.980239987E-1;-8.063809872E-1
1.134383937E0;4.829579890E-1;8.505240083E-1;-6.897510290E-1
1.139176173E0;3.138779998E-1;8.821750283E-1;-5.374400020E-1
1.143968252E0;1.939329952E-1;9.452760220E-1;-4.283410013E-1
1.148760471E0;7.033800334E-2;1.039605975E0;-3.408389986E-1
